Run,Sample,BioProject
SRR1564837,SRS694119,PRJNA257197
SRR1613377,SRS722184,PRJNA257197
SRR1564829,SRS694111,PRJNA257197
SRR1564830,SRS694112,PRJNA257197
SRR1564831,SRS694113,PRJNA257197
SRR1564832,SRS694114,PRJNA257197
SRR1564833,SRS694115,PRJNA257197
SRR1564824,SRS694106,PRJNA257197
SRR1564826,SRS694107,PRJNA257197
SRR1564825,SRS694108,PRJNA257197
SRR1564828,SRS694109,PRJNA257197
SRR1564827,SRS694110,PRJNA257197
SRR1564819,SRS694101,PRJNA257197
SRR1564820,SRS694102,PRJNA257197
SRR1564821,SRS694103,PRJNA257197
SRR1564822,SRS694104,PRJNA257197
SRR1564823,SRS694105,PRJNA257197
SRR1564814,SRS694096,PRJNA257197
SRR1564815,SRS694097,PRJNA257197
SRR1564816,SRS694098,PRJNA257197
SRR1564817,SRS694099,PRJNA257197
SRR1564818,SRS694100,PRJNA257197
SRR1564809,SRS694091,PRJNA257197
SRR1564810,SRS694092,PRJNA257197
SRR1564811,SRS694093,PRJNA257197
SRR1564812,SRS694094,PRJNA257197
SRR1564813,SRS694095,PRJNA257197
SRR1564804,SRS694086,PRJNA257197
SRR1564805,SRS694087,PRJNA257197
SRR1564806,SRS694088,PRJNA257197
SRR1564807,SRS694089,PRJNA257197
SRR1564808,SRS694090,PRJNA257197
SRR1553607,SRS677967,PRJNA257197
SRR1553608,SRS677967,PRJNA257197
SRR1553609,SRS677968,PRJNA257197
SRR1553610,SRS677968,PRJNA257197
SRR1564803,SRS694085,PRJNA257197
SRR1553601,SRS677964,PRJNA257197
SRR1553603,SRS677965,PRJNA257197
SRR1553604,SRS677965,PRJNA257197
SRR1553605,SRS677966,PRJNA257197
SRR1553606,SRS677966,PRJNA257197
SRR1553597,SRS677962,PRJNA257197
SRR1553598,SRS677962,PRJNA257197
SRR1553599,SRS677963,PRJNA257197
SRR1553600,SRS677963,PRJNA257197
SRR1553602,SRS677964,PRJNA257197
SRR1553591,SRS677959,PRJNA257197
SRR1553593,SRS677960,PRJNA257197
SRR1553594,SRS677960,PRJNA257197
SRR1553595,SRS677961,PRJNA257197
SRR1553596,SRS677961,PRJNA257197
SRR1553587,SRS677957,PRJNA257197
SRR1553588,SRS677957,PRJNA257197
SRR1553589,SRS677958,PRJNA257197
SRR1553590,SRS677958,PRJNA257197
SRR1553592,SRS677959,PRJNA257197
SRR1553581,SRS677954,PRJNA257197
SRR1553583,SRS677955,PRJNA257197
SRR1553584,SRS677955,PRJNA257197
SRR1553585,SRS677956,PRJNA257197
SRR1553586,SRS677956,PRJNA257197
SRR1553577,SRS677952,PRJNA257197
SRR1553578,SRS677952,PRJNA257197
SRR1553579,SRS677953,PRJNA257197
SRR1553580,SRS677953,PRJNA257197
SRR1553582,SRS677954,PRJNA257197
SRR1553571,SRS677949,PRJNA257197
SRR1553573,SRS677950,PRJNA257197
SRR1553574,SRS677950,PRJNA257197
SRR1553575,SRS677951,PRJNA257197
SRR1553576,SRS677951,PRJNA257197
SRR1553567,SRS677947,PRJNA257197
SRR1553568,SRS677947,PRJNA257197
SRR1553569,SRS677948,PRJNA257197
SRR1553570,SRS677948,PRJNA257197
SRR1553572,SRS677949,PRJNA257197
SRR1553561,SRS677944,PRJNA257197
SRR1553563,SRS677945,PRJNA257197
SRR1553564,SRS677945,PRJNA257197
SRR1553565,SRS677946,PRJNA257197
SRR1553566,SRS677946,PRJNA257197
SRR1553557,SRS677942,PRJNA257197
SRR1553558,SRS677942,PRJNA257197
SRR1553559,SRS677943,PRJNA257197
SRR1553560,SRS677943,PRJNA257197
SRR1553562,SRS677944,PRJNA257197
SRR1553551,SRS677939,PRJNA257197
SRR1553553,SRS677940,PRJNA257197
SRR1553554,SRS677940,PRJNA257197
SRR1553555,SRS677941,PRJNA257197
SRR1553556,SRS677941,PRJNA257197
SRR1553547,SRS677937,PRJNA257197
SRR1553548,SRS677937,PRJNA257197
SRR1553549,SRS677938,PRJNA257197
SRR1553550,SRS677938,PRJNA257197
SRR1553552,SRS677939,PRJNA257197
SRR1553541,SRS677934,PRJNA257197
SRR1553543,SRS677935,PRJNA257197
SRR1553544,SRS677935,PRJNA257197
SRR1553545,SRS677936,PRJNA257197
SRR1553546,SRS677936,PRJNA257197
SRR1553537,SRS677932,PRJNA257197
SRR1553538,SRS677932,PRJNA257197
SRR1553539,SRS677933,PRJNA257197
SRR1553540,SRS677933,PRJNA257197
SRR1553542,SRS677934,PRJNA257197
SRR1553531,SRS677929,PRJNA257197
SRR1553533,SRS677930,PRJNA257197
SRR1553534,SRS677930,PRJNA257197
SRR1553535,SRS677931,PRJNA257197
SRR1553536,SRS677931,PRJNA257197
SRR1553527,SRS677927,PRJNA257197
SRR1553528,SRS677927,PRJNA257197
SRR1553529,SRS677928,PRJNA257197
SRR1553530,SRS677928,PRJNA257197
SRR1553532,SRS677929,PRJNA257197
SRR1553521,SRS677924,PRJNA257197
SRR1553523,SRS677925,PRJNA257197
SRR1553524,SRS677925,PRJNA257197
SRR1553525,SRS677926,PRJNA257197
SRR1553526,SRS677926,PRJNA257197
SRR1553517,SRS677922,PRJNA257197
SRR1553518,SRS677922,PRJNA257197
SRR1553519,SRS677923,PRJNA257197
SRR1553520,SRS677923,PRJNA257197
SRR1553522,SRS677924,PRJNA257197
SRR1553511,SRS677919,PRJNA257197
SRR1553513,SRS677920,PRJNA257197
SRR1553514,SRS677920,PRJNA257197
SRR1553515,SRS677921,PRJNA257197
SRR1553516,SRS677921,PRJNA257197
SRR1553507,SRS677917,PRJNA257197
SRR1553508,SRS677917,PRJNA257197
SRR1553509,SRS677918,PRJNA257197
SRR1553510,SRS677918,PRJNA257197
SRR1553512,SRS677919,PRJNA257197
SRR1553501,SRS677914,PRJNA257197
SRR1553503,SRS677915,PRJNA257197
SRR1553504,SRS677915,PRJNA257197
SRR1553505,SRS677916,PRJNA257197
SRR1553506,SRS677916,PRJNA257197
SRR1553497,SRS677912,PRJNA257197
SRR1553498,SRS677912,PRJNA257197
SRR1553499,SRS677913,PRJNA257197
SRR1553500,SRS677913,PRJNA257197
SRR1553502,SRS677914,PRJNA257197
SRR1553491,SRS677909,PRJNA257197
SRR1553493,SRS677910,PRJNA257197
SRR1553494,SRS677910,PRJNA257197
SRR1553495,SRS677911,PRJNA257197
SRR1553496,SRS677911,PRJNA257197
SRR1553487,SRS677907,PRJNA257197
SRR1553488,SRS677907,PRJNA257197
SRR1553489,SRS677908,PRJNA257197
SRR1553490,SRS677908,PRJNA257197
SRR1553492,SRS677909,PRJNA257197
SRR1553481,SRS677904,PRJNA257197
SRR1553483,SRS677905,PRJNA257197
SRR1553484,SRS677905,PRJNA257197
SRR1553485,SRS677906,PRJNA257197
SRR1553486,SRS677906,PRJNA257197
SRR1553477,SRS677902,PRJNA257197
SRR1553478,SRS677902,PRJNA257197
SRR1553479,SRS677903,PRJNA257197
SRR1553480,SRS677903,PRJNA257197
SRR1553482,SRS677904,PRJNA257197
SRR1553471,SRS677899,PRJNA257197
SRR1553473,SRS677900,PRJNA257197
SRR1553474,SRS677900,PRJNA257197
SRR1553475,SRS677901,PRJNA257197
SRR1553476,SRS677901,PRJNA257197
SRR1553467,SRS677897,PRJNA257197
SRR1553468,SRS677897,PRJNA257197
SRR1553469,SRS677898,PRJNA257197
SRR1553470,SRS677898,PRJNA257197
SRR1553472,SRS677899,PRJNA257197
SRR1553461,SRS677894,PRJNA257197
SRR1553463,SRS677895,PRJNA257197
SRR1553464,SRS677895,PRJNA257197
SRR1553465,SRS677896,PRJNA257197
SRR1553466,SRS677896,PRJNA257197
SRR1553457,SRS677892,PRJNA257197
SRR1553458,SRS677892,PRJNA257197
SRR1553459,SRS677893,PRJNA257197
SRR1553460,SRS677893,PRJNA257197
SRR1553462,SRS677894,PRJNA257197
SRR1553451,SRS677889,PRJNA257197
SRR1553453,SRS677890,PRJNA257197
SRR1553454,SRS677890,PRJNA257197
SRR1553455,SRS677891,PRJNA257197
SRR1553456,SRS677891,PRJNA257197
SRR1553447,SRS677887,PRJNA257197
SRR1553448,SRS677887,PRJNA257197
SRR1553449,SRS677888,PRJNA257197
SRR1553450,SRS677888,PRJNA257197
SRR1553452,SRS677889,PRJNA257197
SRR1553441,SRS677884,PRJNA257197
SRR1553443,SRS677885,PRJNA257197
SRR1553444,SRS677885,PRJNA257197
SRR1553445,SRS677886,PRJNA257197
SRR1553446,SRS677886,PRJNA257197
SRR1553437,SRS677882,PRJNA257197
SRR1553438,SRS677882,PRJNA257197
SRR1553439,SRS677883,PRJNA257197
SRR1553440,SRS677883,PRJNA257197
SRR1553442,SRS677884,PRJNA257197
SRR1553431,SRS677879,PRJNA257197
SRR1553433,SRS677880,PRJNA257197
SRR1553434,SRS677880,PRJNA257197
SRR1553435,SRS677881,PRJNA257197
SRR1553436,SRS677881,PRJNA257197
SRR1553427,SRS677877,PRJNA257197
SRR1553428,SRS677877,PRJNA257197
SRR1553429,SRS677878,PRJNA257197
SRR1553430,SRS677878,PRJNA257197
SRR1553432,SRS677879,PRJNA257197
SRR1553421,SRS677874,PRJNA257197
SRR1553423,SRS677875,PRJNA257197
SRR1553424,SRS677875,PRJNA257197
SRR1553425,SRS677876,PRJNA257197
SRR1553426,SRS677876,PRJNA257197
SRR1553416,SRS677871,PRJNA257197
SRR1553418,SRS677872,PRJNA257197
SRR1553419,SRS677872,PRJNA257197
SRR1553420,SRS677873,PRJNA257197
SRR1553422,SRS677874,PRJNA257197
SRR1553417,SRS677969,PRJNA257197
