Run,Sample,BioProject
SRR1972822,SRS803871,PRJNA257197
SRR1972826,SRS803923,PRJNA257197
SRR1972824,SRS804025,PRJNA257197
SRR1972825,SRS804042,PRJNA257197
SRR1972821,SRS803802,PRJNA257197
SRR1972819,SRS803825,PRJNA257197
SRR1972818,SRS803916,PRJNA257197
SRR1972820,SRS803937,PRJNA257197
SRR1972817,SRS804001,PRJNA257197
SRR1972816,SRS803816,PRJNA257197
SRR1972812,SRS803891,PRJNA257197
SRR1972815,SRS908586,PRJNA257197
SRR1972814,SRS908587,PRJNA257197
SRR1972813,SRS908588,PRJNA257197
SRR1972811,SRS803783,PRJNA257197
SRR1972808,SRS803784,PRJNA257197
SRR1972809,SRS803864,PRJNA257197
SRR1972810,SRS804017,PRJNA257197
SRR1972807,SRS804038,PRJNA257197
SRR1972806,SRS803819,PRJNA257197
SRR1972802,SRS803822,PRJNA257197
SRR1972803,SRS803944,PRJNA257197
SRR1972805,SRS803950,PRJNA257197
SRR1972804,SRS803994,PRJNA257197
SRR1972801,SRS908589,PRJNA257197
SRR1972800,SRS908590,PRJNA257197
SRR1972799,SRS908591,PRJNA257197
SRR1972798,SRS908592,PRJNA257197
SRR1972797,SRS908593,PRJNA257197
SRR1972796,SRS908594,PRJNA257197
SRR1972795,SRS908595,PRJNA257197
SRR1972793,SRS908596,PRJNA257197
SRR1972794,SRS908597,PRJNA257197
SRR1972792,SRS908599,PRJNA257197
SRR1972791,SRS908598,PRJNA257197
SRR1972790,SRS908600,PRJNA257197
SRR1972789,SRS908601,PRJNA257197
SRR1972787,SRS908602,PRJNA257197
SRR1972788,SRS908603,PRJNA257197
SRR1972786,SRS908604,PRJNA257197
SRR1972785,SRS908605,PRJNA257197
SRR1972784,SRS908606,PRJNA257197
SRR1972783,SRS908607,PRJNA257197
SRR1972782,SRS908608,PRJNA257197
SRR1972781,SRS908609,PRJNA257197
SRR1972780,SRS908610,PRJNA257197
SRR1972779,SRS908611,PRJNA257197
SRR1972778,SRS908612,PRJNA257197
SRR1972777,SRS908613,PRJNA257197
SRR1972775,SRS908614,PRJNA257197
